ID_TIEMPO,ANIO,ID_MES,DESC_MES,ID_DIA,DESC_DIA,ID_DIA_SEMANA,ID_HORA
1,2023,1,ENERO,1,DOMINGO,6,0
2,2023,1,ENERO,1,DOMINGO,6,1
3,2023,1,ENERO,1,DOMINGO,6,2
4,2023,1,ENERO,1,DOMINGO,6,3
5,2023,1,ENERO,1,DOMINGO,6,4
6,2023,1,ENERO,1,DOMINGO,6,5
7,2023,1,ENERO,1,DOMINGO,6,6
8,2023,1,ENERO,1,DOMINGO,6,7
9,2023,1,ENERO,1,DOMINGO,6,8
10,2023,1,ENERO,1,DOMINGO,6,9
11,2023,1,ENERO,1,DOMINGO,6,10
12,2023,1,ENERO,1,DOMINGO,6,11
13,2023,1,ENERO,1,DOMINGO,6,12
14,2023,1,ENERO,1,DOMINGO,6,13
15,2023,1,ENERO,1,DOMINGO,6,14
16,2023,1,ENERO,1,DOMINGO,6,15
17,2023,1,ENERO,1,DOMINGO,6,16
18,2023,1,ENERO,1,DOMINGO,6,17
19,2023,1,ENERO,1,DOMINGO,6,18
20,2023,1,ENERO,1,DOMINGO,6,19
21,2023,1,ENERO,1,DOMINGO,6,20
22,2023,1,ENERO,1,DOMINGO,6,21
23,2023,1,ENERO,1,DOMINGO,6,22
24,2023,1,ENERO,1,DOMINGO,6,23
25,2023,1,ENERO,2,LUNES,0,0
26,2023,1,ENERO,2,LUNES,0,1
27,2023,1,ENERO,2,LUNES,0,2
28,2023,1,ENERO,2,LUNES,0,3
29,2023,1,ENERO,2,LUNES,0,4
30,2023,1,ENERO,2,LUNES,0,5
31,2023,1,ENERO,2,LUNES,0,6
32,2023,1,ENERO,2,LUNES,0,7
33,2023,1,ENERO,2,LUNES,0,8
34,2023,1,ENERO,2,LUNES,0,9
35,2023,1,ENERO,2,LUNES,0,10
36,2023,1,ENERO,2,LUNES,0,11
37,2023,1,ENERO,2,LUNES,0,12
38,2023,1,ENERO,2,LUNES,0,13
39,2023,1,ENERO,2,LUNES,0,14
40,2023,1,ENERO,2,LUNES,0,15
41,2023,1,ENERO,2,LUNES,0,16
42,2023,1,ENERO,2,LUNES,0,17
43,2023,1,ENERO,2,LUNES,0,18
44,2023,1,ENERO,2,LUNES,0,19
45,2023,1,ENERO,2,LUNES,0,20
46,2023,1,ENERO,2,LUNES,0,21
47,2023,1,ENERO,2,LUNES,0,22
48,2023,1,ENERO,2,LUNES,0,23
49,2023,1,ENERO,3,MARTES,1,0
50,2023,1,ENERO,3,MARTES,1,1
51,2023,1,ENERO,3,MARTES,1,2
52,2023,1,ENERO,3,MARTES,1,3
53,2023,1,ENERO,3,MARTES,1,4
54,2023,1,ENERO,3,MARTES,1,5
55,2023,1,ENERO,3,MARTES,1,6
56,2023,1,ENERO,3,MARTES,1,7
57,2023,1,ENERO,3,MARTES,1,8
58,2023,1,ENERO,3,MARTES,1,9
59,2023,1,ENERO,3,MARTES,1,10
60,2023,1,ENERO,3,MARTES,1,11
61,2023,1,ENERO,3,MARTES,1,12
62,2023,1,ENERO,3,MARTES,1,13
63,2023,1,ENERO,3,MARTES,1,14
64,2023,1,ENERO,3,MARTES,1,15
65,2023,1,ENERO,3,MARTES,1,16
66,2023,1,ENERO,3,MARTES,1,17
67,2023,1,ENERO,3,MARTES,1,18
68,2023,1,ENERO,3,MARTES,1,19
69,2023,1,ENERO,3,MARTES,1,20
70,2023,1,ENERO,3,MARTES,1,21
71,2023,1,ENERO,3,MARTES,1,22
72,2023,1,ENERO,3,MARTES,1,23
73,2023,1,ENERO,4,MIÉRCOLES,2,0
74,2023,1,ENERO,4,MIÉRCOLES,2,1
75,2023,1,ENERO,4,MIÉRCOLES,2,2
76,2023,1,ENERO,4,MIÉRCOLES,2,3
77,2023,1,ENERO,4,MIÉRCOLES,2,4
78,2023,1,ENERO,4,MIÉRCOLES,2,5
79,2023,1,ENERO,4,MIÉRCOLES,2,6
80,2023,1,ENERO,4,MIÉRCOLES,2,7
81,2023,1,ENERO,4,MIÉRCOLES,2,8
82,2023,1,ENERO,4,MIÉRCOLES,2,9
83,2023,1,ENERO,4,MIÉRCOLES,2,10
84,2023,1,ENERO,4,MIÉRCOLES,2,11
85,2023,1,ENERO,4,MIÉRCOLES,2,12
86,2023,1,ENERO,4,MIÉRCOLES,2,13
87,2023,1,ENERO,4,MIÉRCOLES,2,14
88,2023,1,ENERO,4,MIÉRCOLES,2,15
89,2023,1,ENERO,4,MIÉRCOLES,2,16
90,2023,1,ENERO,4,MIÉRCOLES,2,17
91,2023,1,ENERO,4,MIÉRCOLES,2,18
92,2023,1,ENERO,4,MIÉRCOLES,2,19
93,2023,1,ENERO,4,MIÉRCOLES,2,20
94,2023,1,ENERO,4,MIÉRCOLES,2,21
95,2023,1,ENERO,4,MIÉRCOLES,2,22
96,2023,1,ENERO,4,MIÉRCOLES,2,23
97,2023,1,ENERO,5,JUEVES,3,0
98,2023,1,ENERO,5,JUEVES,3,1
99,2023,1,ENERO,5,JUEVES,3,2
100,2023,1,ENERO,5,JUEVES,3,3
101,2023,1,ENERO,5,JUEVES,3,4
102,2023,1,ENERO,5,JUEVES,3,5
103,2023,1,ENERO,5,JUEVES,3,6
104,2023,1,ENERO,5,JUEVES,3,7
105,2023,1,ENERO,5,JUEVES,3,8
106,2023,1,ENERO,5,JUEVES,3,9
107,2023,1,ENERO,5,JUEVES,3,10
108,2023,1,ENERO,5,JUEVES,3,11
109,2023,1,ENERO,5,JUEVES,3,12
110,2023,1,ENERO,5,JUEVES,3,13
111,2023,1,ENERO,5,JUEVES,3,14
